FrameID,ID,topLeft,topRight,bottomRight,bottomLeft,distance,yaw
274,0,"(408, 63)","(467, 59)","(472, 119)","(415, 123)",2.0941084750020877,-4.053864371257945
275,0,"(412, 31)","(470, 27)","(473, 86)","(415, 90)",2.0859002832852562,-2.792108618905973
288,0,"(228, 27)","(288, 23)","(294, 83)","(236, 87)",2.2457212809490588,-4.5430672289224825
289,0,"(122, 12)","(187, 8)","(195, 68)","(131, 74)",2.263666386495139,-7.515515190014594
309,0,"(681, 56)","(746, 55)","(745, 118)","(681, 117)",1.849201978348944,0.7722887971231772
317,1,"(615, 84)","(640, 88)","(637, 114)","(611, 112)",4.494346782467603,1.8004741718880388
318,1,"(672, 99)","(698, 103)","(694, 129)","(669, 126)",4.546286272567134,8.649632643617132
319,1,"(702, 120)","(727, 122)","(724, 149)","(698, 146)",4.511800054860805,8.961531466543525
320,1,"(705, 120)","(732, 123)","(728, 151)","(702, 151)",4.06312841666107,-2.1158425686616056
321,1,"(712, 116)","(740, 118)","(736, 147)","(708, 144)",4.137503984077881,8.58533621323114
322,1,"(737, 115)","(765, 116)","(762, 145)","(735, 143)",4.276120860021226,6.996475906816464
323,1,"(752, 111)","(781, 113)","(778, 142)","(750, 141)",4.148184459097254,3.079391368781049
324,1,"(725, 92)","(752, 93)","(750, 123)","(721, 123)",4.227174989937494,1.1535571298792477
325,1,"(688, 106)","(714, 107)","(712, 136)","(684, 136)",4.348635409595063,0.6974018877515875
326,1,"(658, 88)","(686, 90)","(684, 121)","(656, 119)",3.9766425967321593,-1.4204802505008227
327,1,"(657, 92)","(686, 94)","(683, 124)","(654, 123)",3.9496915580271903,-0.6076716277019387
328,1,"(669, 80)","(699, 82)","(696, 114)","(667, 113)",3.8074892796203477,-2.2181276555217
329,1,"(663, 75)","(694, 77)","(691, 109)","(661, 108)",3.802228983331953,-0.2812358489812374
330,1,"(643, 73)","(674, 76)","(671, 109)","(640, 107)",3.700006060525147,0.173734252535933
331,1,"(664, 73)","(696, 76)","(693, 108)","(661, 107)",3.67493443678953,1.970483286111635
332,1,"(676, 75)","(709, 78)","(704, 113)","(673, 111)",3.4812945398554187,-1.206960875996769
333,1,"(674, 83)","(707, 85)","(704, 121)","(671, 119)",3.5134694528956674,4.35081879969366
334,1,"(663, 73)","(697, 75)","(695, 112)","(660, 110)",3.3650750007806156,0.6082915897162876
335,1,"(648, 99)","(684, 100)","(682, 139)","(647, 138)",3.240978100645375,-0.14340862318464379
336,1,"(676, 98)","(714, 99)","(712, 137)","(674, 137)",3.081307689668849,3.093524621471218
337,1,"(676, 98)","(714, 99)","(712, 137)","(674, 137)",3.081307689668849,3.093524621471218
338,1,"(703, 120)","(742, 124)","(739, 165)","(700, 163)",2.857506696342879,0.911830344063954
339,1,"(713, 117)","(755, 120)","(752, 163)","(710, 161)",2.75991778524581,2.576633341312529
340,1,"(732, 109)","(777, 111)","(773, 157)","(730, 155)",2.644523571212922,7.448655343702199
341,1,"(732, 122)","(777, 124)","(774, 171)","(730, 169)",2.56516447408546,0.6473104140786381
342,1,"(759, 103)","(807, 104)","(805, 156)","(757, 155)",2.3587839057598528,-1.517017152747969
343,1,"(769, 123)","(820, 125)","(819, 175)","(768, 176)",2.3069893152981944,0.4569212947234064
344,1,"(806, 102)","(862, 102)","(862, 160)","(806, 160)",2.095484799986366,-1.1030798841006038
345,1,"(848, 125)","(907, 127)","(907, 189)","(847, 187)",1.943247038734527,0.31219624993994105
365,3,"(487, 122)","(503, 123)","(502, 139)","(486, 139)",7.17118866842501,-6.33533282149842
366,3,"(492, 123)","(509, 124)","(508, 140)","(492, 139)",7.247485673676186,-0.26660265092942936
369,3,"(503, 158)","(521, 159)","(521, 177)","(503, 179)",6.0549147643277275,-9.7048546150226
370,3,"(486, 153)","(504, 152)","(505, 170)","(487, 173)",6.132031650810276,-14.391981641018136
371,3,"(495, 170)","(513, 170)","(512, 189)","(496, 189)",6.867396620373854,-3.4239288039608318
373,3,"(542, 145)","(561, 146)","(559, 166)","(541, 165)",5.913803211480318,-4.127927665903673
374,3,"(544, 159)","(564, 161)","(563, 180)","(544, 180)",5.917836908388064,-0.7250396835303707
375,3,"(547, 169)","(567, 168)","(567, 190)","(548, 191)",5.3491131077609175,-10.569688983279455
377,3,"(527, 150)","(549, 151)","(548, 173)","(528, 173)",5.314393277081342,-5.121559159928738
378,3,"(504, 133)","(526, 132)","(527, 155)","(506, 156)",5.270828351175722,-9.603742528661535
379,3,"(512, 165)","(535, 164)","(536, 188)","(514, 190)",4.8329926888791475,-11.008983013401043
380,3,"(523, 176)","(547, 175)","(548, 197)","(525, 200)",4.876361336046899,-8.183743687152532
381,3,"(542, 135)","(567, 135)","(566, 159)","(542, 159)",4.733537094878193,-3.6233695494074287
382,3,"(560, 151)","(585, 151)","(585, 177)","(561, 177)",4.7255970838886965,-0.5670013984322607
383,3,"(562, 155)","(587, 154)","(588, 181)","(563, 182)",4.393038163148644,1.165705148020686
384,3,"(554, 162)","(580, 161)","(580, 187)","(554, 188)",4.368037252781163,-0.7131974505716244
386,3,"(551, 148)","(578, 148)","(577, 177)","(551, 177)",4.090540880401832,-6.83143433234894
387,3,"(552, 140)","(580, 140)","(580, 169)","(553, 170)",4.047670875098185,-6.860038668824593
388,3,"(562, 135)","(591, 134)","(592, 164)","(563, 166)",3.892475557792756,-7.614196943589857
389,3,"(573, 149)","(603, 147)","(605, 177)","(575, 180)",3.809315313785169,-7.325955812267285
390,3,"(604, 117)","(635, 117)","(635, 149)","(604, 150)",3.6943442289598716,-4.240524893455858
391,3,"(629, 126)","(662, 126)","(664, 160)","(630, 160)",3.4091390159088797,-2.4946528255855203
392,3,"(665, 144)","(699, 142)","(700, 178)","(666, 179)",3.348568393831933,0.8803504151369175
393,3,"(675, 140)","(711, 137)","(711, 175)","(676, 176)",3.199238059574411,0.922677238191859
394,3,"(688, 105)","(724, 104)","(725, 143)","(689, 145)",3.084778206682597,-6.332397432282634
395,3,"(698, 104)","(736, 101)","(737, 141)","(700, 143)",3.089389393942739,1.1092143712970344
396,3,"(708, 64)","(748, 62)","(750, 105)","(709, 108)",2.8791775823867054,-5.412836966667665
397,3,"(728, 74)","(771, 71)","(773, 117)","(730, 120)",2.704437897291686,-5.685040705226514
398,3,"(792, 44)","(840, 42)","(839, 93)","(792, 95)",2.5268225757710563,-3.432975985446832
399,3,"(850, 44)","(902, 43)","(901, 97)","(850, 99)",2.36535110178663,-2.561641722451386
400,3,"(888, 47)","(942, 45)","(942, 101)","(888, 103)",2.3060791731110797,-2.2746042328062135
419,2,"(273, 63)","(305, 62)","(304, 102)","(274, 103)",3.314708947688719,-36.53800639010964
423,5,"(69, 77)","(87, 78)","(87, 96)","(69, 95)",8.053416854699275,2.6493850178746223
424,2,"(629, 64)","(660, 61)","(656, 102)","(625, 104)",3.005040389782958,10.525684332119944
425,2,"(680, 58)","(711, 55)","(706, 98)","(675, 100)",2.896143266676398,14.206495738991913
426,2,"(723, 68)","(754, 65)","(750, 110)","(718, 111)",2.822463413131864,16.725415743369474
427,5,"(276, 117)","(293, 118)","(293, 134)","(276, 132)",8.139926590963585,-0.04816568624586204
428,5,"(298, 110)","(316, 111)","(314, 127)","(298, 125)",7.837426706349719,-5.210049332551052
429,5,"(305, 94)","(322, 95)","(321, 111)","(305, 110)",7.898634457275693,-9.521096987969589
430,5,"(324, 96)","(341, 97)","(341, 113)","(325, 113)",7.8068030626181635,-10.406429371915442
432,4,"(235, 158)","(244, 158)","(245, 167)","(236, 167)",14.674891603445928,-0.9113656084302422
435,5,"(423, 128)","(440, 127)","(441, 143)","(424, 144)",7.153499284086544,-4.711660227052672
436,5,"(422, 136)","(439, 135)","(440, 152)","(424, 153)",7.205686017447079,-11.56966741354743
437,5,"(434, 164)","(451, 165)","(451, 182)","(435, 182)",6.931648270398336,-6.77794674756338
438,5,"(457, 177)","(474, 176)","(473, 193)","(456, 193)",6.6873557962604835,-0.25026013268436403
439,5,"(462, 177)","(478, 178)","(478, 195)","(461, 195)",6.7814907636407495,-5.8489323668680715
440,5,"(441, 198)","(457, 199)","(457, 216)","(440, 215)",6.990649948104147,3.897734874619426
441,5,"(416, 193)","(433, 193)","(434, 210)","(416, 210)",6.93122481568527,-1.7306997835518367
442,5,"(386, 171)","(404, 171)","(404, 189)","(386, 187)",6.957074019045575,-0.019200708402451565
443,5,"(351, 199)","(368, 197)","(370, 215)","(352, 216)",6.857367604356076,-4.906495246085632
444,2,"(881, 35)","(939, 10)","(940, 96)","(881, 114)",1.5647876565097971,8.695136190002897
445,4,"(230, 288)","(240, 289)","(240, 298)","(230, 298)",13.258053489682156,-0.6879461552316661
446,5,"(371, 217)","(389, 216)","(391, 235)","(373, 236)",6.352859829726842,-2.0475770989321767
447,5,"(406, 219)","(426, 216)","(427, 235)","(408, 236)",6.121710442069486,-10.505820535316806
448,5,"(428, 176)","(447, 176)","(448, 195)","(428, 195)",6.19054328361608,-1.6056755588497333
449,5,"(476, 163)","(495, 162)","(496, 182)","(477, 183)",5.952022290900413,-1.180302934556105
450,5,"(490, 161)","(510, 160)","(511, 181)","(492, 182)",6.007688198767042,-6.521441151347752
451,5,"(517, 156)","(538, 154)","(539, 175)","(519, 176)",5.6568785985840835,-7.407523396181116
452,4,"(410, 246)","(420, 245)","(421, 255)","(411, 255)",12.114955246563154,-4.480168893577762
453,5,"(536, 139)","(558, 138)","(558, 159)","(537, 160)",5.38890276060313,-6.23674745989479
454,5,"(542, 132)","(563, 132)","(562, 156)","(542, 157)",4.887703558118967,-12.588226779222932
455,4,"(423, 226)","(433, 226)","(434, 236)","(423, 236)",11.522778712006916,-2.696509778827598
456,7,"(359, 273)","(359, 264)","(368, 264)","(368, 273)",13.243475134913325,-89.99999999999916
457,5,"(574, 127)","(597, 126)","(599, 150)","(576, 152)",4.914708906771462,-8.298974408616395
458,5,"(634, 125)","(660, 124)","(660, 149)","(636, 151)",4.62077096552422,-4.38402484439172
459,7,"(432, 274)","(432, 265)","(442, 265)","(441, 275)",12.21083666107298,-86.90967659957751
460,5,"(679, 113)","(707, 111)","(707, 138)","(680, 140)",4.238483098000037,-4.22904230897929
461,4,"(532, 232)","(543, 232)","(543, 244)","(532, 244)",9.615807566327932,2.4774095092681057
463,5,"(699, 88)","(731, 86)","(730, 116)","(700, 118)",3.8101219512749203,-3.182701105769295
464,7,"(447, 265)","(447, 254)","(457, 255)","(457, 265)",11.091594274958442,-89.17203290998873
465,7,"(446, 272)","(446, 261)","(456, 261)","(456, 271)",10.914811999920932,-86.00996095364886
466,4,"(505, 231)","(517, 230)","(518, 242)","(505, 243)",9.103821530292915,-4.334039276472221
467,4,"(548, 218)","(561, 218)","(561, 231)","(548, 231)",8.78646832422896,1.3390970443372764e-09
468,7,"(474, 264)","(473, 253)","(483, 252)","(484, 263)",10.501966113424297,-94.47405613357606
469,7,"(472, 271)","(472, 260)","(482, 259)","(483, 271)",10.047207998186277,-91.76525827628048
470,4,"(562, 202)","(575, 200)","(576, 216)","(563, 216)",7.734753923542757,0.5767709938595429
471,4,"(504, 212)","(517, 211)","(519, 225)","(504, 226)",8.188439220148517,-4.164955802786769
472,7,"(413, 276)","(411, 264)","(422, 263)","(423, 275)",9.766679693510255,-94.87570327623668
476,7,"(435, 272)","(435, 259)","(447, 259)","(447, 272)",8.979501515078134,-89.2308986732573
477,7,"(441, 286)","(442, 273)","(453, 273)","(454, 286)",9.750111279501576,-90.41795315278122
479,7,"(408, 291)","(408, 278)","(421, 277)","(422, 291)",8.637139381433451,-92.1507412102576
480,7,"(396, 289)","(396, 276)","(409, 275)","(410, 289)",8.67392742293432,-92.15016503722428
481,7,"(380, 310)","(379, 297)","(393, 295)","(394, 309)",8.47693944958563,-96.78637903416083
482,4,"(476, 238)","(493, 236)","(494, 254)","(476, 255)",6.38581706863463,-3.9349583555799437
483,4,"(467, 193)","(485, 192)","(486, 210)","(468, 212)",6.262120664489847,-11.025881684663085
484,7,"(356, 279)","(356, 265)","(371, 265)","(371, 280)",8.247968083563926,-88.13173771945675
485,7,"(360, 294)","(359, 278)","(374, 278)","(375, 293)",7.687545270619404,-91.56732289474016
486,7,"(341, 324)","(340, 308)","(356, 308)","(356, 323)",7.690448280897364,-89.28747478190135
487,7,"(311, 289)","(312, 273)","(327, 273)","(326, 290)",7.315614809734134,-86.95664984083459
488,7,"(307, 299)","(306, 284)","(321, 282)","(323, 299)",7.5844389231525575,-93.58801858440394
489,7,"(340, 350)","(339, 333)","(355, 332)","(357, 349)",6.9964789486591386,-93.60321459679795
490,7,"(410, 331)","(409, 314)","(426, 313)","(427, 331)",6.641157678821203,-91.86574699353804
491,7,"(424, 320)","(424, 302)","(441, 302)","(442, 320)",6.448800089030602,-91.20238467590572
492,7,"(450, 325)","(451, 307)","(468, 307)","(467, 326)",6.193404377559384,-87.25367270140775
493,7,"(460, 331)","(461, 313)","(478, 313)","(478, 333)",6.02194974637134,-87.4459908153338
494,7,"(481, 334)","(481, 315)","(499, 315)","(499, 334)",6.008050103709662,-89.76148970016864
495,7,"(482, 327)","(482, 308)","(500, 308)","(500, 327)",6.011078240603557,-89.71559566966812
496,7,"(458, 315)","(458, 295)","(477, 295)","(477, 315)",5.7511718684444215,-89.63231848860983
497,7,"(460, 313)","(461, 292)","(479, 293)","(479, 313)",5.605485921789399,-87.60098688812849
498,7,"(446, 343)","(446, 321)","(466, 322)","(466, 343)",5.34462576314827,-90.05917596921496
499,7,"(476, 323)","(477, 303)","(497, 303)","(497, 324)",5.560583937363346,-88.65621449926623
500,7,"(451, 330)","(451, 307)","(472, 308)","(472, 330)",5.108249464346498,-89.73757660363955
501,7,"(463, 344)","(463, 321)","(485, 323)","(485, 345)",5.005950571374047,-91.71050592966826
502,7,"(483, 360)","(483, 337)","(505, 338)","(505, 361)",4.918586047843089,-88.66532130347393
503,7,"(489, 365)","(489, 341)","(511, 340)","(512, 364)",4.727776266060915,-91.68224600466904
504,7,"(466, 361)","(466, 336)","(490, 336)","(489, 362)",4.4785840882085495,-88.77177318196252
505,7,"(453, 344)","(453, 319)","(477, 318)","(478, 344)",4.49569225147531,-90.96525738887145
506,7,"(430, 385)","(430, 358)","(456, 359)","(456, 386)",4.2480728776474415,-88.70011610059153
507,7,"(454, 371)","(455, 343)","(481, 344)","(481, 371)",4.163285926271556,-89.07149080531954
508,7,"(435, 359)","(436, 330)","(463, 330)","(462, 359)",3.957466301575546,-88.94200232998088
509,7,"(434, 367)","(434, 338)","(462, 338)","(461, 368)",3.9020206209214683,-88.9558677543926
510,7,"(419, 374)","(420, 344)","(449, 345)","(448, 376)",3.782755219456041,-87.51652147081732
511,7,"(372, 391)","(373, 359)","(403, 360)","(403, 392)",3.666372798160522,-88.57560978883674
512,7,"(321, 415)","(321, 382)","(354, 383)","(354, 416)",3.6078596434193875,-88.39391421984365
513,7,"(291, 407)","(291, 373)","(325, 373)","(325, 408)",3.5091917745079657,-89.31943355258574
514,7,"(273, 404)","(273, 369)","(308, 369)","(307, 405)",3.4429219195456935,-89.26926656692386
515,7,"(227, 424)","(227, 386)","(264, 386)","(264, 424)",3.291546863815547,-90.14663516700091
516,7,"(205, 427)","(205, 387)","(244, 387)","(244, 427)",3.160450929053777,-90.14081169945713
517,7,"(194, 441)","(193, 400)","(232, 399)","(233, 440)",3.104453702662343,-91.7127191803046
518,7,"(128, 448)","(129, 406)","(172, 406)","(170, 449)",3.104352006629257,-89.284141933979
519,4,"(352, 209)","(431, 208)","(433, 284)","(351, 285)",1.5115210200773534,-1.797768845275155
520,4,"(282, 192)","(369, 193)","(369, 270)","(280, 269)",1.4708619471771975,-1.4789289942783772
521,4,"(152, 164)","(249, 167)","(248, 250)","(150, 250)",1.4671677823928504,-1.7056618360052982
522,4,"(6, 181)","(111, 183)","(109, 273)","(3, 272)",1.5091625827862893,-1.2603701034027417
534,6,"(312, 235)","(321, 235)","(321, 243)","(312, 243)",14.434686257488702,-2.0102490456503768
535,6,"(326, 247)","(335, 247)","(335, 255)","(326, 255)",14.284833867545107,-1.8651723257183943
536,6,"(365, 254)","(373, 254)","(373, 263)","(365, 263)",13.30155438426514,1.7370259294438057
538,6,"(386, 229)","(394, 229)","(394, 238)","(386, 238)",13.295527060267363,2.217977214924782
539,6,"(395, 230)","(404, 230)","(404, 239)","(395, 238)",14.069253400539282,0.5905132490153389
540,6,"(401, 239)","(409, 239)","(409, 248)","(401, 248)",13.192884678759686,2.132766795474344
549,6,"(428, 227)","(437, 227)","(437, 236)","(428, 236)",13.010702774071015,-1.407467555098782e-09
551,6,"(438, 242)","(447, 242)","(447, 251)","(438, 251)",12.939088615262143,-2.4740966096022777e-10
555,6,"(492, 232)","(502, 232)","(502, 243)","(492, 243)",10.56186152674551,2.370384801704392
557,6,"(501, 242)","(512, 243)","(512, 253)","(501, 253)",10.53163771236371,0.7327763515654577
558,6,"(493, 246)","(504, 245)","(503, 256)","(493, 256)",11.528038224123572,-0.084414025616426
559,6,"(482, 248)","(492, 248)","(492, 260)","(482, 259)",10.068471478079303,5.352146847000496
562,6,"(445, 232)","(456, 232)","(456, 243)","(445, 243)",10.57908464689707,1.3116232182746633e-09
565,6,"(462, 248)","(473, 248)","(473, 260)","(462, 260)",9.692090229759156,1.7996013802278463
566,6,"(464, 251)","(476, 251)","(477, 263)","(465, 263)",9.483232655411058,0.42174527253238064
567,6,"(461, 255)","(473, 254)","(473, 266)","(461, 267)",9.239101602669804,-3.6746611476679414
568,6,"(455, 270)","(467, 270)","(467, 283)","(455, 282)",9.255744776083286,3.088396493442817
569,6,"(447, 258)","(459, 257)","(460, 270)","(448, 270)",9.306517002115084,-1.4671830915235355
571,6,"(424, 250)","(437, 249)","(438, 262)","(425, 263)",8.948263477745975,-4.3987053549914075
572,6,"(426, 267)","(439, 265)","(440, 279)","(427, 279)",8.90629269367419,-4.333941707143404
574,6,"(461, 252)","(475, 251)","(475, 265)","(462, 265)",8.542119906045672,-2.0198967795130223
575,6,"(472, 251)","(486, 251)","(487, 264)","(473, 265)",8.556045151753638,-4.005526386614338
576,6,"(475, 255)","(489, 254)","(490, 268)","(475, 269)",7.903281624830297,-3.9592884007743376
577,6,"(467, 272)","(481, 271)","(482, 285)","(468, 286)",8.18908486579352,-4.0856167725426635
580,6,"(413, 256)","(428, 255)","(429, 270)","(415, 271)",7.8386459782194065,-9.461092976900492
581,6,"(400, 277)","(415, 276)","(416, 291)","(401, 292)",7.789303977545141,-3.814074825774107
583,6,"(438, 267)","(454, 266)","(455, 281)","(439, 283)",7.238559215864585,-8.777121094562593
584,6,"(439, 258)","(455, 257)","(456, 273)","(440, 274)",7.2330141525948175,-3.576334368879229
585,6,"(447, 263)","(464, 262)","(465, 278)","(448, 279)",6.933840447919551,-4.391321398852973
586,6,"(448, 262)","(465, 260)","(466, 276)","(449, 278)",6.757417944569469,-6.7286740742016775
587,6,"(457, 240)","(474, 239)","(475, 256)","(458, 257)",6.793321290715663,-3.3664606634280054
588,6,"(447, 263)","(465, 262)","(466, 279)","(448, 280)",6.546755633918427,-4.169383251851859
589,6,"(425, 257)","(443, 256)","(444, 274)","(426, 275)",6.456182619089276,-3.1798301130529882
592,6,"(432, 245)","(452, 244)","(453, 263)","(433, 264)",5.935908649441128,-3.8987566595206533
593,6,"(442, 261)","(462, 259)","(463, 279)","(444, 281)",5.733956000906995,-10.46098363693813
594,6,"(442, 264)","(462, 263)","(463, 284)","(443, 285)",5.523422666118872,-1.8667407714008535
595,6,"(421, 284)","(443, 283)","(444, 303)","(423, 305)",5.522434468374026,-6.126555905002628
596,6,"(377, 284)","(400, 283)","(401, 305)","(379, 306)",5.363992605913328,-3.016968743928097
597,6,"(367, 283)","(390, 281)","(392, 303)","(369, 305)",5.294350415538118,-5.872329260835604
598,6,"(365, 285)","(388, 283)","(390, 306)","(367, 308)",5.120701380415194,-4.969740728113403
599,6,"(370, 281)","(394, 279)","(396, 302)","(372, 304)",5.0620874233484425,-5.6326433733572925
600,6,"(371, 278)","(396, 276)","(398, 300)","(373, 303)",4.738598602183616,-10.034290160642797
601,6,"(373, 283)","(399, 280)","(401, 306)","(375, 308)",4.5509271846007975,-5.68857265955396
602,6,"(360, 299)","(387, 297)","(389, 323)","(362, 325)",4.511901322722766,-4.865581875382657
603,6,"(367, 282)","(394, 280)","(396, 308)","(369, 309)",4.296474669387375,-2.908677033815041
604,6,"(362, 291)","(390, 289)","(392, 316)","(364, 318)",4.341619269699991,-4.7329821857889565
605,6,"(352, 292)","(381, 291)","(383, 319)","(354, 321)",4.160671167782851,-6.180142162798655
606,6,"(362, 295)","(391, 291)","(394, 321)","(365, 323)",4.0434358924585325,-5.8650400256843325
607,6,"(360, 294)","(390, 291)","(393, 321)","(362, 323)",3.9682516237452305,-5.309460881937538
608,6,"(394, 297)","(425, 295)","(427, 325)","(397, 328)",3.8109979396038494,-7.673593256454144
609,6,"(415, 289)","(447, 288)","(447, 320)","(416, 321)",3.6151627344631283,-4.659349623213496
610,6,"(434, 287)","(467, 285)","(468, 319)","(437, 320)",3.446680979806624,-1.9153409030909498
611,6,"(439, 314)","(473, 312)","(474, 347)","(440, 348)",3.3196601811554234,-2.3449270794309363
612,6,"(441, 315)","(476, 313)","(478, 348)","(443, 350)",3.277073887237888,-3.27048792317504
613,6,"(437, 296)","(473, 293)","(476, 329)","(440, 331)",3.2333781452316477,-4.246829833832227
614,6,"(431, 291)","(468, 288)","(471, 325)","(434, 328)",3.106378346893895,-4.635463426891139
615,6,"(428, 286)","(466, 283)","(469, 320)","(431, 323)",3.0865185620250655,-5.062100209060954
616,6,"(423, 288)","(462, 284)","(465, 323)","(426, 326)",2.966243435324441,-5.242234845004645
617,6,"(435, 285)","(476, 282)","(479, 323)","(439, 326)",2.808668558439842,-3.9851796205685424
618,6,"(487, 290)","(530, 286)","(534, 328)","(491, 332)",2.6605241503102612,-5.755628623360785
619,6,"(534, 281)","(579, 277)","(582, 321)","(537, 325)",2.4947874279442326,-4.97347613016124
620,6,"(550, 269)","(596, 265)","(599, 312)","(553, 315)",2.4149038893747816,-3.814605569662528
621,6,"(593, 268)","(643, 264)","(646, 312)","(596, 315)",2.245485795927258,-3.9910276271530707
622,6,"(633, 268)","(685, 264)","(688, 314)","(636, 317)",2.1606431517949014,-3.656785050973722
623,6,"(765, 249)","(825, 246)","(826, 301)","(768, 303)",1.9792933565474895,-1.091203500200301
655,0,"(492, 289)","(500, 288)","(500, 296)","(492, 297)",13.431851533388572,-5.925364179493044
